name,owner,stars,forks,language,url
AndroidPdfViewer,DImuthuUpe,8265,1938,Java,https://github.com/DImuthuUpe/AndroidPdfViewer
shardingsphere-elasticjob,apache,8174,3285,Java,https://github.com/apache/shardingsphere-elasticjob
testcontainers-java,testcontainers,8162,1686,Java,https://github.com/testcontainers/testcontainers-java
atlas,alibaba,8140,1475,Java,https://github.com/alibaba/atlas
MaterialViewPager,florent37,8120,1478,Java,https://github.com/florent37/MaterialViewPager
LitePal,guolindev,8108,1586,Java,https://github.com/guolindev/LitePal
im-server,wildfirechat,8104,1828,Java,https://github.com/wildfirechat/im-server
otter,alibaba,8093,2494,Java,https://github.com/alibaba/otter
beam,apache,8045,4320,Java,https://github.com/apache/beam
ysoserial,frohoff,8043,1784,Java,https://github.com/frohoff/ysoserial
SimianArmy,Netflix,7982,1132,Java,https://github.com/Netflix/SimianArmy
subsampling-scale-image-view,davemorrissey,7940,1209,Java,https://github.com/davemorrissey/subsampling-scale-image-view
pentaho-kettle,pentaho,7923,3508,Java,https://github.com/pentaho/pentaho-kettle
hugo,JakeWharton,7923,798,Java,https://github.com/JakeWharton/hugo
transmittable-thread-local,alibaba,7882,1703,Java,https://github.com/alibaba/transmittable-thread-local
UltimateAndroidReference,aritraroy,7870,1290,Java,https://github.com/aritraroy/UltimateAndroidReference
XPopup,junixapp,7860,1190,Java,https://github.com/junixapp/XPopup
HomeMirror,HannahMitt,7852,668,Java,https://github.com/HannahMitt/HomeMirror
metrics,dropwizard,7843,1812,Java,https://github.com/dropwizard/metrics
LSPatch,LSPosed,7806,869,Java,https://github.com/LSPosed/LSPatch
material-theme-jetbrains,ChrisRM,7805,448,Java,https://github.com/ChrisRM/material-theme-jetbrains
tomcat,apache,7756,5126,Java,https://github.com/apache/tomcat
javacv,bytedeco,7721,1603,Java,https://github.com/bytedeco/javacv
RxLifecycle,trello-archive,7704,638,Java,https://github.com/trello-archive/RxLifecycle
react-native-svg,software-mansion,7669,1149,Java,https://github.com/software-mansion/react-native-svg
vjtools,vipshop,7650,1524,Java,https://github.com/vipshop/vjtools
MVVMHabit,goldze,7644,1697,Java,https://github.com/goldze/MVVMHabit
aeron,aeron-io,7636,912,Java,https://github.com/aeron-io/aeron
graylog2-server,Graylog2,7601,1083,Java,https://github.com/Graylog2/graylog2-server
baritone,cabaletta,7596,1525,Java,https://github.com/cabaletta/baritone
MyBookshelf,gedoor,7592,1816,Java,https://github.com/gedoor/MyBookshelf
android-classyshark,google,7562,870,Java,https://github.com/google/android-classyshark
Shadow,Tencent,7554,1317,Java,https://github.com/Tencent/Shadow
RxJava-Android-Samples,kaushikgopal,7538,1373,Java,https://github.com/kaushikgopal/RxJava-Android-Samples
AndroidAsync,koush,7537,1561,Java,https://github.com/koush/AndroidAsync
PojavLauncher,PojavLauncherTeam,7514,1388,Java,https://github.com/PojavLauncherTeam/PojavLauncher
closure-compiler,google,7486,1161,Java,https://github.com/google/closure-compiler
algs4,kevin-wayne,7469,2678,Java,https://github.com/kevin-wayne/algs4
SDE-Interview-Questions,twowaits,7449,2208,Java,https://github.com/twowaits/SDE-Interview-Questions
hellocharts-android,lecho,7443,1614,Java,https://github.com/lecho/hellocharts-android
LeetCode,yuanguangxin,7419,1882,Java,https://github.com/yuanguangxin/LeetCode
swagger-core,swagger-api,7418,2197,Java,https://github.com/swagger-api/swagger-core
PowerJob,PowerJob,7388,1298,Java,https://github.com/PowerJob/PowerJob
SpringCloud-Learning,dyc87112,7376,2881,Java,https://github.com/dyc87112/SpringCloud-Learning
HMCL,HMCL-dev,7376,701,Java,https://github.com/HMCL-dev/HMCL
VBlog,lenve,7367,2914,Java,https://github.com/lenve/VBlog
Mapper,abel533,7366,1627,Java,https://github.com/abel533/Mapper
ShortcutBadger,leolin310148,7351,1343,Java,https://github.com/leolin310148/ShortcutBadger
RePlugin,Qihoo360,7308,1537,Java,https://github.com/Qihoo360/RePlugin
dagger,square,7305,3072,Java,https://github.com/square/dagger
mapstruct,mapstruct,7278,974,Java,https://github.com/mapstruct/mapstruct
Android-Bootstrap,Bearded-Hen,7277,1420,Java,https://github.com/Bearded-Hen/Android-Bootstrap
sweet-alert-dialog,pedant,7257,1934,Java,https://github.com/pedant/sweet-alert-dialog
TakePhoto,crazycodeboy,7243,1506,Java,https://github.com/crazycodeboy/TakePhoto
UltimateRecyclerView,cymcsg,7211,1420,Java,https://github.com/cymcsg/UltimateRecyclerView
WeChatLuckyMoney,geeeeeeeeek,7208,2211,Java,https://github.com/geeeeeeeeek/WeChatLuckyMoney
xmall,Exrick,7204,2556,Java,https://github.com/Exrick/xmall
gocd,gocd,7202,977,Java,https://github.com/gocd/gocd
agera,google,7180,634,Java,https://github.com/google/agera
SmartTabLayout,ogaclejapan,7092,1338,Java,https://github.com/ogaclejapan/SmartTabLayout
MinecraftForge,MinecraftForge,7091,2733,Java,https://github.com/MinecraftForge/MinecraftForge
ActionBarSherlock,JakeWharton,7085,3516,Java,https://github.com/JakeWharton/ActionBarSherlock
LeetCode-Book,krahets,7083,816,Java,https://github.com/krahets/LeetCode-Book
iceberg,apache,7063,2439,Java,https://github.com/apache/iceberg
KnowStreaming,didi,7054,1288,Java,https://github.com/didi/KnowStreaming
nanohttpd,NanoHttpd,7048,1705,Java,https://github.com/NanoHttpd/nanohttpd
Timber,naman14,7034,2157,Java,https://github.com/naman14/Timber
elasticsearch-sql,NLPchina,7008,1541,Java,https://github.com/NLPchina/elasticsearch-sql
alluxio,Alluxio,6958,2945,Java,https://github.com/Alluxio/alluxio
error-prone,google,6947,752,Java,https://github.com/google/error-prone
rest-assured,rest-assured,6933,1883,Java,https://github.com/rest-assured/rest-assured
DroidPlugin,DroidPluginTeam,6920,2523,Java,https://github.com/DroidPluginTeam/DroidPlugin
netty-socketio,mrniko,6914,1670,Java,https://github.com/mrniko/netty-socketio
jimureport,jeecgboot,6870,1722,Java,https://github.com/jeecgboot/jimureport
okhttputils,hongyangAndroid,6870,2385,Java,https://github.com/hongyangAndroid/okhttputils
jvm-sandbox,alibaba,6861,1575,Java,https://github.com/alibaba/jvm-sandbox
JavaTutorial,h2pl,6861,1588,Java,https://github.com/h2pl/JavaTutorial
1brc,gunnarmorling,6829,1989,Java,https://github.com/gunnarmorling/1brc
walle,Meituan-Dianping,6813,1086,Java,https://github.com/Meituan-Dianping/walle
DependencyCheck,dependency-check,6809,1339,Java,https://github.com/dependency-check/DependencyCheck
AntennaPod,AntennaPod,6795,1446,Java,https://github.com/AntennaPod/AntennaPod
react-native-push-notification,zo0r,6777,2054,Java,https://github.com/zo0r/react-native-push-notification
angel,Angel-ML,6752,1594,Java,https://github.com/Angel-ML/angel
rabbitmq-tutorials,rabbitmq,6730,3572,Java,https://github.com/rabbitmq/rabbitmq-tutorials
mybatis-generator-gui,zouzg,6699,2534,Java,https://github.com/zouzg/mybatis-generator-gui
AndroidPerformanceMonitor,markzhai,6698,1023,Java,https://github.com/markzhai/AndroidPerformanceMonitor
AndroidAutoLayout,hongyangAndroid,6676,1895,Java,https://github.com/hongyangAndroid/AndroidAutoLayout
haven,guardianproject,6672,730,Java,https://github.com/guardianproject/haven
gnirehtet,Genymobile,6667,619,Java,https://github.com/Genymobile/gnirehtet
springcloud-learning,macrozheng,6648,2805,Java,https://github.com/macrozheng/springcloud-learning
BookReader,smuyyh,6645,1882,Java,https://github.com/smuyyh/BookReader
wiremock,wiremock,6640,1459,Java,https://github.com/wiremock/wiremock
AndPermission,yanzhenjie,6633,1102,Java,https://github.com/yanzhenjie/AndPermission
springBoot,527515025,6629,3152,Java,https://github.com/527515025/springBoot
storm,apache,6614,4077,Java,https://github.com/apache/storm
AndroidPicker,gzu-liyujiang,6600,1480,Java,https://github.com/gzu-liyujiang/AndroidPicker
Toasty,GrenderG,6589,810,Java,https://github.com/GrenderG/Toasty
AndroidProject,getActivity,6588,1378,Java,https://github.com/getActivity/AndroidProject
itstack-demo-design,fuzhengwei,6569,1952,Java,https://github.com/fuzhengwei/itstack-demo-design
GoGoGo,ZCShou,6564,771,Java,https://github.com/ZCShou/GoGoGo
